BSC Name,,TCH Assignment Success Rate [BBH],TCH Blocking Rate [BBH],Drop Call Rate [BBH],SDCCH Drop Call Rate [BBH],Total Voice Traffic [BBH],RX Quality [BBH],HOSR[CBBH],SDCCH Blocking Rate [BBH]
BSC165KAK,18-Jun-22,99.05,0,0.55,0.02,1205.72,98.69,99.34,0
,19-Jun-22,99.02,0.53,0.49,0.03,1202.26,98.76,99.35,0
,20-Jun-22,99.06,0,0.52,0.02,1186.81,98.73,99.39,0
,21-Jun-22,99.12,0,0.72,0.02,1137.52,98.73,99.35,0
,22-Jun-22,99,0,0.51,0.02,1156.96,98.7,99.38,0
BSC166NAG,18-Jun-22,98.85,0.22,0.66,0.03,3920.49,98.23,98.83,0.01
,19-Jun-22,98.66,1.47,0.63,0.04,3606.21,98.15,98.96,0.12
,20-Jun-22,98.7,0.54,0.7,0.04,3810.57,98.01,98.57,0.09
,21-Jun-22,98.67,0.51,0.73,0.04,4097.37,98.04,98.52,0.05
,22-Jun-22,98.6,0.09,0.66,0.03,4142.07,98.08,98.54,0.01
BSC167SRA,18-Jun-22,98.9,0.02,0.96,0.02,1568.21,97.84,98.96,0.1
,19-Jun-22,98.73,0.02,0.9,0.02,1586.61,97.85,98.56,0.02
,20-Jun-22,98.79,0.2,0.96,0.03,1430.43,97.58,98.95,0.03
,21-Jun-22,98.96,0.01,0.82,0.02,1698.67,97.73,98.65,0.01
,22-Jun-22,98.87,0,0.8,0.03,1728.46,97.76,98.72,0.06
BSC168ASK,18-Jun-22,98.79,0.1,0.47,0.03,8484.77,98.14,98.48,0.01
,19-Jun-22,98.7,0.72,0.46,0.03,8317.96,98.14,98.67,0.8
,20-Jun-22,98.76,0.11,0.5,0.04,8134.36,97.84,98.27,0.04
,21-Jun-22,98.69,0.06,0.54,0.04,8558.44,98.03,98.38,0.03
,22-Jun-22,98.68,0.1,0.44,0.04,8946.67,98.05,98.35,0
BSC169GWL,18-Jun-22,98.45,0.55,0.62,0.08,3591.77,98.13,97.76,0.03
,19-Jun-22,98.45,0.52,0.83,0.06,3481.77,98.14,97.86,0.02
,20-Jun-22,98.48,0.86,0.54,0.04,3412.11,98.2,98.01,0.09
,21-Jun-22,98.43,0.82,0.63,0.05,3328.74,98.18,97.97,0.13
,22-Jun-22,98.45,1.22,0.63,0.05,3116.48,98.23,97.88,0.22
BSC170SEN,18-Jun-22,98.79,0.02,0.9,0.03,5787.16,98.47,98.41,0
,19-Jun-22,98.47,0.12,0.77,0.04,6085.88,98.42,98.27,0.01
,20-Jun-22,98.63,0.05,0.46,0.03,6123.45,98.47,98.4,0
,21-Jun-22,98.67,0.08,0.57,0.03,6103.59,98.42,98.3,0
,22-Jun-22,98.48,0.04,0.53,0.04,6030.57,98.42,98.34,0
BSC171SNM,18-Jun-22,98.97,0.07,0.69,0.03,3170.47,98.55,98.54,0.01
,19-Jun-22,98.87,0.04,0.62,0.02,3163.23,98.57,98.58,0
,20-Jun-22,98.9,0.15,1.42,0.02,3220.68,98.35,98.64,0.27
,21-Jun-22,98.96,0.08,1.15,0.03,3170.98,98.41,98.46,0.01
,22-Jun-22,98.96,0.06,0.81,0.02,3120.98,98.51,98.5,0.04
BSC172KHN,18-Jun-22,99.15,0.03,0.57,0.02,1722.33,98.82,98.61,0
,19-Jun-22,99.33,0,0.56,0.01,1709.69,98.87,98.61,0
,20-Jun-22,99.26,0,0.6,0.03,1772.15,98.82,98.71,0
,21-Jun-22,99.29,0,0.57,0.02,1755.55,98.85,98.8,0
,22-Jun-22,99.31,0,0.62,0.02,1773.3,98.83,98.55,0
BSC173AMB,18-Jun-22,98.19,1.34,1.19,0.1,6290.38,97.44,96.55,0.13
,19-Jun-22,98.14,1.53,1,0.07,6129.7,97.74,96.95,0.02
,20-Jun-22,98.23,0.92,1.04,0.08,6018.05,97.68,96.83,0.02
,21-Jun-22,98.04,0.6,1.16,0.09,6222.79,97.67,96.66,0
,22-Jun-22,98.1,0.49,1.04,0.07,6275.75,97.69,96.8,0
BSC175GGD,18-Jun-22,98.97,0.19,0.89,0.06,3601.34,98.33,97.66,0.01
,19-Jun-22,98.7,0.5,1,0.09,3677.77,98.19,97.32,0.44
,20-Jun-22,99.01,0.08,0.76,0.05,3665.87,98.41,97.66,0.01
,21-Jun-22,99.08,0.05,0.7,0.05,3618.55,98.53,97.64,0
,22-Jun-22,99.02,0.11,0.92,0.04,3570.58,98.39,97.34,0
BSC177BHL,18-Jun-22,98.07,0.03,0.62,0.17,4718.76,98.37,97.4,0.07
,19-Jun-22,98.44,0.04,0.52,0.09,4373.1,98.39,97.57,0.03
,20-Jun-22,98.12,0.01,0.57,0.18,4611.92,98.32,97.53,0.01
,21-Jun-22,98.14,0.02,0.77,0.18,4533.2,98.27,97.33,0.95
,22-Jun-22,98.11,0.24,0.59,0.16,4645.69,98.35,97.46,4.88
BSC179BET,18-Jun-22,98.41,0.05,0.37,0.08,6051.25,98.44,98.23,0.01
,19-Jun-22,98.16,0.06,0.37,0.1,6030.29,98.55,98.27,0.07
,20-Jun-22,98.59,0.02,0.36,0.04,6106.65,98.57,98.32,0.04
,21-Jun-22,98.19,2.46,0.38,0.11,6268.02,98.45,97.9,0.52
,22-Jun-22,98.45,0.6,0.39,0.07,6113.36,98.49,97.94,0.19
BSC180MGV,18-Jun-22,97.98,1.11,0.82,0.14,11112.94,97.41,96.99,0.28
,19-Jun-22,97.41,1.43,1.15,0.17,12000.07,96.87,95.98,0.07
,20-Jun-22,97.79,0.92,1.01,0.14,12231.24,97.14,96.67,0.01
,21-Jun-22,97.24,1.3,1.1,0.22,12683.46,97.04,96.18,0.06
,22-Jun-22,97.41,1.25,1.12,0.18,12529.62,97.1,96.28,0.01
BSC182JRA,18-Jun-22,98.77,0.12,0.42,0.02,4298.03,98.5,98.63,0.01
,19-Jun-22,98.65,0.04,0.46,0.02,4191.15,98.56,98.7,0.11
,20-Jun-22,98.8,0.28,0.37,0.01,4198.42,98.51,98.77,0.02
,21-Jun-22,98.68,0.04,0.48,0.02,4178.68,98.37,98.47,0.01
,22-Jun-22,98.56,0.06,0.49,0.02,4187.54,98.41,98.4,0
BSC183BLP,18-Jun-22,98.68,0.07,0.95,0.05,6357.07,98.14,98.21,0.02
,19-Jun-22,98.64,0.19,0.9,0.04,6178.16,98.1,98.24,0.01
,20-Jun-22,98.74,0.25,0.81,0.04,6501.02,98.19,98.1,0.01
,21-Jun-22,98.7,0.09,0.84,0.05,6539.8,98.17,98.13,0
,22-Jun-22,98.57,0.07,0.85,0.05,6436.87,98.15,98.16,0
BSC184CHP,18-Jun-22,99.1,0.36,0.57,0.02,6876.96,98.37,98.78,0.09
,19-Jun-22,99.03,0.37,0.67,0.02,6324.37,98.22,98.93,0.1
